Name,City,Country,Latitude,Longitude,Airport ID,IATA,ICAO
Khanskaya Air Base,Maykop,Russia,44.68,40.035,11982,\N,URKH
Dudinka Airport,Dudinka,Russia,69.375,86.15666961669922,11983,\N,UROD
Tashkent East Airport,Tashkent,Uzbekistan,41.31269836425781,69.39140319824219,11985,\N,UTTP
Myachkovo Airport,Moscow,Russia,55.5600013733,37.9850006104,11986,\N,UUBM
Tretyakovo Airport,Lukhovitsy,Russia,54.9049987793,39.02666854859999,11987,\N,UUMT
Yermolino Airport,Balabanovo,Russia,55.2283325195,36.6083335876,11988,\N,UUWE
Inta Airport,Inta,Russia,66.05483245849611,60.11032104492188,11989,INA,UUYI
Izhma Airport,Izhma,Russia,65.03170013427734,53.97000122070313,11990,\N,UUYV
Borisoglebskoye Airport,Kazan,Russia,55.86669921875,49.13330078125,11991,\N,UWKG
Zhigansk Airport,Zhigansk,Russia,66.7965011597,123.361000061,11992,ZIX,UWKV
Maksimovka Airport,Ufa,Russia,54.83000183105469,56.16830062866211,11993,\N,UWUM
Buguruslan Severny Airport,Buguruslan,Russia,53.71839904789999,52.3718986511,11994,\N,UWWB
Bezymyanka Airfield,Samara,Russia,53.22000122070313,50.32500076293945,11995,\N,UWWG
Hingurakgoda Air Force Base,Polonnaruwa Town,Sri Lanka,8.04981,80.9814,11997,HIM,VCCH
Kazi Nazrul Islam Airport,Durgapur,India,23.6225,87.243,11998,RDP,VEDG
Sri Sathya Sai Airport,Puttaparthi,India,14.1492996216,77.7910995483,12002,PUT,VOPN
Meiktila Air Base,Meiktila,Burma,20.88640022277832,95.89279174804688,12003,\N,VYML
Changi Air Base (East),Singapore,Singapore,1.3441400528,104.009002686,12004,\N,WSAC
Soltsy-2 Air Base,Soltsy,Russia,58.139545,30.33042,12005,\N,XLLL
Severomorsk-3 Naval Air Base,Severomorsk,Russia,68.86666899999999,33.716667,12006,\N,XLMV
Fedotovo Naval Air Base,Kipelovo,Russia,59.193031000000005,39.129411,12007,\N,XLWF
Lebyazhye Air Base,Kamyshin,Russia,50.2016983032,45.2083015442,12008,\N,XRWL
Smolensk North Airport,Smolensk,Russia,54.824,32.025,12009,LNX,XUBS
Rtishchevo Air Base,Rtishchevo,Russia,52.297317,43.7241,12010,\N,XWPR
Alpha Airport,Alpha,Australia,-23.646099,146.584,12011,ABH,YAPH
Deniliquin Airport,Deniliquin,Australia,-35.559398651100004,144.945999146,12021,DNQ,YDLQ
Forbes Airport,Forbes,Australia,-33.363602,147.934998,12024,FRB,YFBS
Latrobe Valley Airport,Morwell,Australia,-38.207199,146.470001,12031,TGN,YLTV
West Sale Airport,Sale,Australia,-38.090827,146.965335,12044,SXE,YWSL
West Wyalong Airport,West Wyalong,Australia,-33.9371986389,147.190994263,12045,WWY,YWWL
Guangzhou MR Air Base,Guanghua,China,32.38940048217773,111.69499969482422,12047,LHK,ZHGH
Shiyan Wudangshan Airport,Shiyan,China,32.591667,110.907778,12048,WDS,ZHSY
Sunchon Air Base,Sunchon,North Korea,39.415699,125.894997,12049,\N,ZKSC
Huatugou Airport,Mengnai,China,38.201984,90.841495,12050,HTT,ZLHX
Bengbu Airport,Bengbu,China,32.8477333333,117.320244444,12052,BFU,ZSBB
Rugao Air Base,Rugao,China,32.257884979248054,120.50165557861328,12053,RUG,ZSRG
Wuhu Air Base,Wuhu,China,31.3906,118.408997,12054,WHU,ZSWU
Shanshan Airport,Shanshan,China,42.91170120239258,90.24749755859376,12055,SXJ,ZWSS
Yingkou Lanqi Airport,Yingkou,China,40.542524,122.3586,12056,YKH,ZYYK
Shenyang Dongta Airport,Shenyang,China,41.784400939941406,123.49600219726562,12057,\N,ZYYY
Bogorodskoye Airport,Bogorodskoe,Russia,52.38,140.44799999999998,12058,BQG,UHNB
Itapiranga Airport,Itapiranga,Brazil,-27.14249992370605,-53.68579864501953,12059,\N,SSYT
Aguas Calientes Airport,Aguas Calientes,Peru,-8.833330154418945,-74.68329620361328,12069,\N,SPAT
Rajiv Gandhi International Airport,Hyderabad,India,17.2313175201,78.4298553467,12087,HYD,VOHS
